LOAD_ID,BOOKING_DT,BOOKING_TM,ORIG,PKUP_ST_DT,PKUP_ST_TM,PKUP_END_DT,PKUP_END_TM,PKUP_ARRIVAL_ACT_DT,PKUP_ARRIVAL_ACT_TM,PKUP_DEPARTURE_ACT_DT,PKUP_DEPARTURE_ACT_TM,DEST,DLVERY_ST_DT,DLVERY_ST_TM,DLVERY_END_DT,DLVERY_END_TM,DLVERY_ARRIVAL_ACT_DT,DLVERY_ARRIVAL_ACT_TM,DLVERY_DEPARTURE_ACT_DT,DLVERY_DEPARTURE_ACT_TM,MILEAGE
1,20200903,1312,2075615,20200905,700,20200905,700,20200905,1015,20200905,1337,1047897,20200909,1,20200910,130,20200910,102,20200910,352,1034
2,20201001,845,2059975,20201002,1100,20201002,1100,20201002,907,20201002,1027,659549,20201005,1800,20201005,1800,20201005,1106,20201005,1107,828
3,20210216,1411,1041675,20210226,830,20210226,2000,20210226,1520,20210226,1742,1135821,20210310,1700,20210310,1700,20210310,1532,20210310,1818,529
4,20200524,1000,1128953,20200526,700,20200527,2000,20200527,1334,20200527,1334,992647,20200601,1100,20200601,1100,20200601,1040,20200601,1548,799
5,20200529,1458,1308541,20200605,1100,20200605,1100,20200605,1008,20200605,1227,679813,20200608,1200,20200608,1200,20200608,1200,20200608,1200,1365
6,20200609,1102,1308541,20200612,1100,20200612,1100,20200611,1446,20200612,1254,679813,20200615,1200,20200615,1200,20200615,1150,20200615,1200,1365
7,20200611,1121,1308541,20200619,1100,20200619,1100,20200619,221,20200619,1330,679813,20200622,1200,20200622,1200,20200622,1130,20200622,1141,1365
8,20200618,1644,1308541,20200626,1100,20200626,1100,20200626,215,20200626,1225,679813,20200629,1200,20200629,1200,20200629,1200,20200629,1212,1365
9,20200713,840,1308541,20200717,1100,20200717,1100,20200716,1500,20200717,1108,679813,20200720,1200,20200720,1200,20200720,1200,20200720,1212,1365
10,20200824,1056,1308541,20200828,1100,20200828,1100,20200828,1013,20200828,1216,679813,20200831,1200,20200831,1200,20200831,1200,20200831,1215,1365
11,20200825,1420,1302149,20200827,1100,20200827,1100,20200827,801,20200827,802,1302149,20200830,800,20200830,800,20200830,1240,20200831,853,3450
12,20200828,849,1308541,20200904,1100,20200904,1100,20200903,1427,20200904,40,237201,20200908,800,20200908,800,20200908,600,20200908,600,1411
13,20200917,1447,2071671,20200918,1400,20200918,1400,20200918,1247,20200918,1703,678555,20200923,200,20200923,200,20200923,142,20200923,207,1188
14,20201016,1314,1308541,20201023,1100,20201023,1100,20201022,1425,20201023,1200,679813,20201026,1200,20201026,1200,20201026,1200,20201026,1202,1365
15,20201023,1244,1536477,20201024,800,20201024,2000,20201024,731,20201024,1632,1197667,20201026,830,20201026,2300,20201026,1710,20201026,1845,971
16,20201230,1310,1179307,20210104,1400,20210104,1400,20210104,1316,20210104,1708,1125383,20210106,1830,20210106,1830,20210106,1743,20210106,2036,182
17,20210312,854,1308541,20210319,1100,20210319,1100,20210318,2128,20210319,1310,679813,20210322,1200,20210322,1200,20210322,1200,20210322,1201,1365
18,20200503,1037,1128953,20200503,800,20200504,800,20200503,2005,20200503,2025,1106343,20200508,530,20200508,530,20200507,1940,20200507,2257,402
19,20200505,829,1308541,20200508,1100,20200508,1100,20200508,1433,20200508,1816,237201,20200511,1000,20200511,1000,20200511,745,20200511,815,1180
20,20200505,1432,1826089,20200505,1230,20200505,1230,20200505,1756,20200505,1921,580907,20200507,930,20200508,500,20200508,549,20200508,700,762
21,20200507,1112,1308541,20200515,1100,20200515,1100,20200515,1019,20200515,1320,271575,20200518,1000,20200518,1000,20200518,1000,20200518,1010,1253
22,20200514,914,1308541,20200522,1100,20200522,1100,20200521,1507,20200522,859,271575,20200525,1000,20200525,1000,20200525,1101,20200525,1101,1253
23,20200515,1058,1278859,20200519,1600,20200519,1600,20200519,1500,20200519,1600,1401667,20200522,1800,20200522,2000,20200522,1832,20200522,2338,202
24,20200521,1221,1308541,20200529,1100,20200529,1100,20200528,1443,20200529,856,679813,20200601,1000,20200601,1000,20200601,1000,20200601,1010,1360
25,20200617,1226,2073677,20200622,630,20200622,630,20200622,2322,20200622,2343,1056907,20200702,2345,20200702,2345,20200702,2228,20200703,831,738
26,20200618,1249,667709,20200620,800,20200620,1200,20200620,1042,20200620,1325,1822587,20200624,400,20200624,400,20200624,248,20200624,441,954
27,20200702,1100,1302149,20200713,1100,20200713,1100,20200713,728,20200713,730,1302149,20200716,800,20200716,800,20200716,808,20200716,810,3532
28,20200707,1003,1308541,20200710,1100,20200710,1100,20200710,135,20200710,1333,679813,20200713,1200,20200713,1200,20200713,1200,20200713,1212,1365
