LOAD_ID,BOOKING_DT,BOOKING_TM,ORIG,PKUP_ST_DT,PKUP_ST_TM,PKUP_END_DT,PKUP_END_TM,PKUP_ARRIVAL_ACT_DT,PKUP_ARRIVAL_ACT_TM,PKUP_DEPARTURE_ACT_DT,PKUP_DEPARTURE_ACT_TM,DEST,DLVERY_ST_DT,DLVERY_ST_TM,DLVERY_END_DT,DLVERY_END_TM,DLVERY_ARRIVAL_ACT_DT,DLVERY_ARRIVAL_ACT_TM,DLVERY_DEPARTURE_ACT_DT,DLVERY_DEPARTURE_ACT_TM,MILEAGE
15000,20210129,1431,2073677,20210209,1000,20210209,1000,20210210,1331,20210210,1934,1313267,20210211,1800,20210211,1800,20210211,1845,20210211,2107,521
15001,20210129,1442,784941,20210204,300,20210204,2000,20210204,1440,20210204,1457,403325,20210205,1000,20210205,1000,20210204,2321,20210205,745,303
15002,20210129,1443,306153,20210203,1500,20210203,1500,20210203,1726,20210203,1729,1277397,20210205,900,20210205,900,20210205,724,20210205,817,819
15003,20210129,1443,1113109,20210201,800,20210201,800,20210201,1220,20210201,1300,1166183,20210201,2100,20210201,2100,20210201,1936,20210202,8,182
15004,20210129,1446,1113109,20210201,800,20210201,800,20210201,957,20210201,1556,1166183,20210201,2100,20210201,2100,20210201,1941,20210201,2341,182
15005,20210129,1451,2071637,20210203,1830,20210203,1830,20210203,1735,20210203,2034,1077817,20210205,1400,20210205,1400,20210205,938,20210205,1018,772
15006,20210129,1454,2071637,20210203,1900,20210203,1900,20210204,1432,20210204,1716,625107,20210205,1400,20210205,1400,20210206,615,20210206,729,683
15007,20210129,1458,2071637,20210203,1930,20210203,1930,20210204,1216,20210204,1430,625107,20210205,1400,20210205,1400,20210205,1400,20210205,1455,683
15008,20210129,1513,1041675,20210204,1530,20210204,1530,20210204,1523,20210204,1821,1168427,20210205,1930,20210205,1930,20210205,1938,20210205,1938,504
15009,20210129,1525,1167169,20210205,1600,20210209,2000,20210209,1900,20210209,1900,1168427,20210209,2030,20210209,2030,20210209,1923,20210210,41,11
15010,20210129,1530,465341,20210131,1900,20210131,1900,20210131,1400,20210131,1500,316761,20210201,900,20210201,900,20210201,900,20210201,1503,241
15011,20210129,1536,1318707,20210203,1600,20210203,1600,20210204,1004,20210204,1034,1822349,20210211,1400,20210211,1400,20210205,1853,20210205,1938,534
15012,20210129,1534,1113109,20210209,1700,20210209,1700,20210209,1857,20210209,1924,1106615,20210209,2130,20210209,2130,20210209,2010,20210209,2219,28
15013,20210129,1537,1318707,20210204,1500,20210204,1500,20210205,1309,20210205,1356,1822349,20210211,2200,20210211,2200,20210206,1641,20210206,1707,534
15014,20210129,1548,1167169,20210205,1500,20210206,1500,20210206,1300,20210206,1300,1168427,20210206,1730,20210206,1730,20210206,1629,20210206,1855,11
15015,20210129,1601,1167169,20210205,1000,20210206,1200,20210206,1200,20210206,1200,1168427,20210206,1530,20210206,1530,20210206,1429,20210206,1652,11
15016,20210129,1608,1167169,20210208,1000,20210208,1300,20210208,1000,20210208,1246,1168427,20210208,1700,20210208,1700,20210208,1612,20210208,2100,11
15017,20210129,1618,1167169,20210204,900,20210205,1900,20210205,1900,20210205,1900,1135821,20210205,2100,20210205,2100,20210205,2034,20210205,2349,76
15018,20210129,1645,2092785,20210205,630,20210205,630,20210205,1808,20210205,1911,625107,20210206,1600,20210206,1600,20210206,1845,20210206,1924,743
15019,20210129,1642,1167169,20210204,800,20210205,1000,20210205,1001,20210205,1031,1135821,20210205,1500,20210205,1500,20210205,1414,20210205,1632,76
15020,20210129,1659,1167169,20210204,1100,20210205,1800,20210205,1600,20210205,1600,1135821,20210205,2100,20210205,2100,20210205,2030,20210205,2349,76
15021,20210129,1712,1113109,20210209,1000,20210209,1000,20210209,1329,20210209,1342,1106615,20210209,1515,20210209,1515,20210209,1415,20210209,1729,28
15022,20210129,1721,1113109,20210210,1400,20210210,1400,20210210,1745,20210210,1745,1106615,20210210,2000,20210210,2000,20210210,1825,20210210,2032,28
15023,20210129,1802,1113109,20210204,1200,20210204,1400,20210204,1221,20210204,1250,1240813,20210205,600,20210205,600,20210205,455,20210205,1012,299
15024,20210129,1813,1113109,20210204,1200,20210204,1800,20210204,1713,20210204,1751,1240813,20210205,1730,20210205,1730,20210205,1615,20210205,2246,299
15025,20210130,1037,1167169,20210211,1500,20210212,900,20210212,900,20210212,1203,1181619,20210212,1730,20210212,1730,20210212,1615,20210212,1952,72
15026,20210130,1052,1106343,20210203,1300,20210203,1300,20210203,1152,20210203,1628,1106615,20210203,2000,20210203,2000,20210203,1850,20210203,2109,32
15027,20210130,1100,1106343,20210201,1600,20210201,1600,20210201,1515,20210201,1944,1144559,20210202,1030,20210202,1030,20210202,1041,20210202,1041,376
15028,20210130,1114,1144797,20210202,800,20210202,1200,20210202,1156,20210202,1335,1135821,20210202,1900,20210203,1900,20210202,1754,20210202,1835,190
15029,20210130,1118,1144797,20210216,730,20210216,1100,20210216,1036,20210216,1159,1181619,20210216,1730,20210216,1730,20210216,1626,20210216,1821,174
15030,20210130,1125,1106513,20210201,2300,20210201,2300,20210202,305,20210202,321,1106343,20210202,400,20210202,400,20210202,408,20210202,412,23
15031,20210130,1129,1106513,20210201,2300,20210201,2300,20210202,548,20210202,601,1106343,20210202,700,20210202,700,20210202,650,20210202,650,23
15032,20210130,1132,1106513,20210202,2300,20210202,2300,20210203,303,20210203,318,1106343,20210203,400,20210203,400,20210203,410,20210203,416,23
15033,20210130,1136,1106513,20210202,2300,20210202,2300,20210203,601,20210203,601,1106343,20210203,700,20210203,700,20210203,650,20210203,651,23
15034,20210130,1139,1106513,20210203,2300,20210203,2300,20210204,251,20210204,305,1106343,20210204,400,20210204,400,20210204,355,20210204,401,23
15035,20210130,1143,1106513,20210203,2300,20210203,2300,20210204,448,20210204,500,1106343,20210204,700,20210204,700,20210204,559,20210204,559,23
15036,20210131,837,1900787,20210131,2200,20210131,2200,20210131,1710,20210131,2209,1727455,20210201,400,20210201,400,20210201,339,20210201,433,255
15037,20210131,1753,2434859,20210204,900,20210204,900,20210204,747,20210204,830,1046571,20210205,930,20210305,930,20210205,509,20210205,716,603
15038,20210201,813,470951,20210203,1900,20210203,1900,20210203,1257,20210203,1531,628983,20210204,1100,20210204,1100,20210204,828,20210204,850,255
15039,20210201,900,601307,20210205,600,20210205,600,20210206,1919,20210206,2013,1213851,20210208,1100,20210208,1100,20210208,1103,20210208,1335,736
15040,20210201,923,1300789,20210201,730,20210201,730,20210201,1006,20210201,1130,1298307,20210201,1000,20210201,1000,20210201,1223,20210201,1252,28
15041,20210201,924,1298307,20210201,800,20210201,800,20210201,1255,20210201,1335,1809021,20210203,101,20210204,59,20210202,1404,20210202,1432,664
15042,20210201,922,994925,20210201,1100,20210201,1100,20210201,1300,20210201,1341,785893,20210202,800,20210202,800,20210202,816,20210202,858,388
15043,20210201,944,2932177,20210201,900,20210201,1630,20210201,1555,20210201,1738,1040451,20210204,700,20210204,2200,20210204,1359,20210204,1430,1674
15044,20210201,941,1495881,20210201,800,20210201,1500,20210201,1251,20210201,1404,201841,20210203,1600,20210203,2000,20210203,1319,20210203,1358,742
15045,20210201,954,1298307,20210201,1000,20210201,1000,20210201,1744,20210201,1746,1809021,20210203,101,20210204,59,20210202,1928,20210202,2015,664
15046,20210201,1006,1213851,20210208,1730,20210208,1730,20210208,1410,20210208,1956,806225,20210210,800,20210210,800,20210210,801,20210210,1158,665
15047,20210201,1021,784941,20210205,730,20210206,1800,20210206,1034,20210206,1048,1047897,20210208,200,20210208,200,20210208,159,20210208,334,599
15048,20210201,1029,784941,20210208,300,20210208,2200,20210208,1507,20210208,1532,316761,20210209,1100,20210209,1100,20210209,104,20210209,946,270
15049,20210201,1030,784941,20210209,400,20210209,2200,20210210,505,20210210,505,316761,20210210,1100,20210210,1100,20210210,1009,20210210,1228,270
15050,20210201,1031,784941,20210208,330,20210208,2200,20210209,430,20210209,445,316761,20210209,1100,20210209,1100,20210209,1045,20210209,1330,270
15051,20210201,1038,784941,20210209,230,20210209,2200,20210209,1856,20210209,1901,316761,20210210,1100,20210210,1100,20210210,1038,20210210,1227,270
15052,20210201,1039,784941,20210209,330,20210209,2200,20210209,1427,20210209,1443,316761,20210210,1100,20210210,1100,20210209,1933,20210209,2053,270
15053,20210201,1042,784941,20210205,400,20210205,2000,20210206,352,20210206,410,827101,20210206,830,20210206,830,20210206,753,20210206,1212,184
15054,20210201,1044,784941,20210203,400,20210203,1800,20210203,1227,20210203,1320,533443,20210204,200,20210204,200,20210203,1845,20210204,325,186
15055,20210201,1104,110993,20210202,1000,20210202,1000,20210202,947,20210202,1114,723469,20210203,400,20210203,400,20210202,2008,20210203,622,393
