LOAD_ID,BOOKING_DT,BOOKING_TM,ORIG,PKUP_ST_DT,PKUP_ST_TM,PKUP_END_DT,PKUP_END_TM,PKUP_ARRIVAL_ACT_DT,PKUP_ARRIVAL_ACT_TM,PKUP_DEPARTURE_ACT_DT,PKUP_DEPARTURE_ACT_TM,DEST,DLVERY_ST_DT,DLVERY_ST_TM,DLVERY_END_DT,DLVERY_END_TM,DLVERY_ARRIVAL_ACT_DT,DLVERY_ARRIVAL_ACT_TM,DLVERY_DEPARTURE_ACT_DT,DLVERY_DEPARTURE_ACT_TM,MILEAGE
45000,20201218,1127,1324589,20201221,101,20201221,1300,20201221,1131,20201221,1158,1228947,20201221,800,20201221,2200,20201221,1332,20201221,1431,71
45001,20201218,1129,1228947,20201221,800,20201221,1500,20201221,850,20201221,906,1324589,20201221,2100,20201221,2200,20201221,1043,20201221,1049,142
45002,20201218,1130,1228947,20201221,800,20201221,1500,20201221,1355,20201221,1411,1324589,20201221,2100,20201221,2200,20201221,1537,20201221,1542,142
45003,20201218,1130,1228947,20201221,800,20201221,1500,20201221,838,20201221,939,1324589,20201221,2100,20201221,2200,20201221,1104,20201221,1131,142
45004,20201218,1130,1228947,20201221,800,20201221,1500,20201221,1431,20201221,1431,1324589,20201221,2100,20201221,2200,20201221,1604,20201221,1631,142
45005,20201218,1219,1298307,20201220,1400,20201220,1400,20201220,1645,20201220,1725,1322107,20201221,1050,20201221,1150,20201221,942,20201221,959,206
45006,20201218,1220,1298307,20201220,1600,20201220,1600,20201220,1408,20201220,1455,1322107,20201221,1110,20201221,1210,20201221,1121,20201221,1138,206
45007,20201218,1249,1324589,20201221,800,20201221,2300,20201221,1240,20201221,1250,1390175,20201221,700,20201221,2359,20201221,1746,20201221,1757,258
45008,20201218,1259,1298307,20201219,630,20201219,630,20201219,1451,20201219,1451,1809021,20201220,100,20201222,59,20201222,2324,20201222,2324,664
45009,20201218,1300,1298307,20201219,600,20201219,600,20201219,1008,20201219,1009,1809021,20201220,100,20201221,59,20201220,1327,20201220,1502,664
45010,20201218,1301,1298307,20201219,730,20201219,730,20201219,850,20201219,957,1809021,20201220,101,20201221,59,20201220,911,20201220,936,664
45011,20201218,1301,1322107,20201221,1100,20201221,1100,20201221,1025,20201221,1141,2170917,20201222,100,20201223,59,20201221,1920,20201222,800,361
45012,20201218,1302,1322107,20201218,2000,20201218,2000,20201218,2108,20201218,2111,2600949,20201219,1700,20201219,1700,20201219,1650,20201219,1651,664
45013,20201218,1302,1298307,20201219,800,20201219,800,20201219,1052,20201219,1142,1809021,20201220,101,20201221,59,20201220,1114,20201220,1152,664
45014,20201218,1303,1322107,20201221,900,20201221,900,20201221,839,20201221,1026,2170917,20201222,100,20201223,59,20201222,815,20201222,854,361
45015,20201218,1305,1003153,20201221,700,20201221,1600,20201221,1505,20201221,1655,1131707,20201222,1200,20201222,1200,20201222,1243,20201222,1406,436
45016,20201218,1309,1298307,20201219,700,20201219,700,20201218,2308,20201218,2309,1809021,20201220,101,20201221,59,20201220,2000,20201220,2000,664
45017,20201218,1314,1298307,20201219,800,20201219,1300,20201219,1025,20201219,1025,686341,20201221,730,20201221,1330,20201221,234,20201221,1113,580
45018,20201218,1331,1304563,20201221,700,20201221,1000,20201221,657,20201221,724,1543175,20201221,700,20201221,2100,20201221,1825,20201221,1845,442
45019,20201218,1332,1304563,20201221,700,20201221,1000,20201221,1214,20201221,1259,1543175,20201221,700,20201221,2100,20201222,949,20201222,1011,442
45020,20201218,1407,1107329,20201221,600,20201221,2000,20201221,356,20201221,959,1324589,20201221,700,20201221,2100,20201221,2126,20201221,2241,1332
45021,20201218,1409,1543175,20201221,700,20201221,2100,20201221,1847,20201221,2037,1298817,20201222,700,20201222,1500,20201222,1710,20201222,1933,390
45022,20201218,1424,1287427,20201222,600,20201223,1800,20201222,936,20201222,936,1411867,20201222,730,20201223,1700,20201222,1523,20201222,1523,266
45023,20201218,1430,1322107,20201218,1500,20201218,2200,20201218,1739,20201218,2339,1298307,20201219,630,20201219,630,20201219,1535,20201219,1714,206
45024,20201218,1432,1635893,20201221,1000,20201221,2200,20201221,1000,20201221,1050,2209507,20201222,1900,20201223,700,20201222,1922,20201222,1923,484
45025,20201218,1433,1635893,20201221,1100,20201221,2200,20201221,1144,20201221,1434,2209507,20201222,1900,20201223,700,20201222,2351,20201223,44,484
45026,20201218,1502,1498907,20201221,1100,20201221,1100,20201221,902,20201221,1023,1286611,20201222,800,20201222,1500,20201222,1202,20201222,1309,499
45027,20201218,1506,1498907,20201221,1100,20201221,1100,20201221,1155,20201221,1336,1279505,20201222,800,20201222,1600,20201222,1035,20201222,1124,434
45028,20201218,1522,1635893,20201218,1500,20201218,2200,20201218,2018,20201218,2130,1878007,20201221,1000,20201221,1000,20201221,1117,20201221,1224,632
45029,20201218,1532,1003153,20201221,700,20201221,1600,20201221,911,20201221,911,1304563,20201222,1000,20201222,1000,20201221,1743,20201222,722,300
45030,20201218,1541,1635893,20201220,800,20201220,1500,20201220,1219,20201220,1221,2209507,20201220,1900,20201221,700,20201221,1751,20201221,1751,484
45031,20201218,1545,1107329,20201221,700,20201221,1400,20201221,644,20201221,835,1166013,20201221,700,20201222,1500,20201221,1249,20201221,1307,153
45032,20201218,1553,1107329,20201221,1600,20201221,1800,20201221,1840,20201221,2040,983807,20201222,700,20201222,1500,20201223,720,20201223,1023,439
45033,20201218,1554,1389767,20201221,630,20201221,1630,20201221,633,20201221,745,1305787,20201221,700,20201221,1400,20201221,1058,20201221,1233,166
45034,20201218,1554,1107329,20201221,1600,20201221,1800,20201221,1321,20201221,1624,1123071,20201222,900,20201222,1800,20201222,1408,20201222,1441,347
45035,20201218,1556,1107329,20201221,1600,20201221,1800,20201221,1517,20201221,1803,1121507,20201222,800,20201222,1400,20201222,1042,20201222,1149,387
45036,20201218,1554,2118829,20201221,800,20201221,2200,20201221,903,20201221,1153,2600949,20201222,1100,20201223,1100,20201222,1235,20201222,1326,847
45037,20201218,1624,1453857,20201221,1300,20201222,59,20201221,1428,20201221,2026,1159451,20201223,700,20201223,1500,20201223,1309,20201223,1343,758
45038,20201218,1627,1453857,20201229,1000,20201230,59,20201229,944,20201229,944,1872907,20201230,800,20201230,1500,20201230,954,20201230,955,660
45039,20201218,1628,1453857,20201228,1000,20201229,59,20201228,1037,20201228,1213,1872907,20201229,800,20201229,1500,20201229,1204,20201229,1444,660
45040,20201218,1629,1453857,20201228,1000,20201229,59,20201228,1129,20201228,1342,1872907,20201230,800,20201230,1500,20201229,1256,20201229,1619,660
45041,20201218,1639,1635893,20201221,900,20201221,2200,20201221,1351,20201221,1351,2209507,20201222,1900,20201223,700,20201226,1244,20201226,1244,484
45042,20201218,1659,1641945,20201218,700,20201219,2300,20201219,1229,20201219,1322,1535695,20201221,600,20201221,1400,20201221,1142,20201221,1301,350
45043,20201218,1721,737307,20201221,700,20201221,1430,20201221,1357,20201221,1521,1298307,20201222,700,20201222,1200,20201223,939,20201223,1254,523
45044,20201218,1726,2235653,20201220,900,20201220,1800,20201220,1511,20201220,1620,1304563,20201221,800,20201222,1700,20201221,1541,20201221,1631,640
45045,20201218,1727,2238305,20201220,900,20201220,1800,20201221,1510,20201221,1610,1304563,20201221,800,20201222,1700,20201228,1117,20201228,1253,641
45046,20201218,1727,2238305,20201220,900,20201220,1800,20201220,1400,20201220,1430,1304563,20201221,800,20201222,1700,20201222,817,20201222,822,641
